,57c1ab62ffd38700010b4637
Pond11Fish2_FishLatency,3.75
Pond11Fish2_CatchTime,1.421
Pond11Fish2_PondTime,14.402
Pond11Fish2_PondOutcome,22
Pond11Fish2_TotalOutcome,464
Pond11Fish2_TimeLeft,763.499
Type,N
FishN,15
Fish,3
Pond11Fish3_FishType,green
Pond11Fish3_FishLatency,4
Pond11Fish3_CatchTime,1.621
Pond11Fish3_PondTime,21.046
Pond11Fish3_PondOutcome,33
Pond11Fish3_TotalOutcome,475
Pond11Fish3_TimeLeft,756.855
Type,N
FishN,15
Fish,4
Pond11Fish4_FishType,green
Pond11Fish4_FishLatency,4.285714285714286
Pond11Fish4_CatchTime,1.313
Pond11Fish4_PondTime,28.045
Pond11Fish4_PondOutcome,44
Pond11Fish4_TotalOutcome,486
Pond11Fish4_TimeLeft,749.856
Type,N
FishN,15
Fish,5
Pond11Fish5_FishType,green
Pond11Fish5_FishLatency,4.615384615384615
Pond11Fish5_CatchTime,1.499
Pond11Fish5_PondTime,35.431
Pond11Fish5_PondOutcome,55
Pond11Fish5_TotalOutcome,497
Pond11Fish5_TimeLeft,742.47
Type,N
FishN,15
Fish,6
Pond11Fish6_FishType,green
Pond11Fish6_FishLatency,5
Pond11Fish6_CatchTime,1.485
Pond11Fish6_PondTime,43.264
Pond11Fish6_PondOutcome,66
Pond11Fish6_TotalOutcome,508
Pond11Fish6_TimeLeft,734.637
Type,N
FishN,15
Fish,7
Pond11Fish7_FishType,green
Pond11Fish7_FishLatency,5.454545454545454
Pond11Fish7_CatchTime,-1
Pond11Fish7_PondTime,51.694
Pond11Fish7_PondOutcome,66
Pond11Fish7_TotalOutcome,508
Pond11Fish7_TimeLeft,726.207
Type,N
FishN,15
Fish,8
Pond11Fish8_FishType,green
Pond11Fish8_FishLatency,6
Pond11Fish8_CatchTime,1.403
Pond11Fish8_PondTime,60.73
Pond11Fish8_PondOutcome,77
Pond11Fish8_TotalOutcome,519
Pond11Fish8_TimeLeft,717.171
Type,N
FishN,15
Fish,9
Pond11Fish9_FishType,green
Pond11Fish9_FishLatency,6.666666666666667
Pond11Fish9_CatchTime,1.269
Pond11Fish9_PondTime,70.612
Pond11Fish9_PondOutcome,88
Pond11Fish9_TotalOutcome,530
Pond11Fish9_TimeLeft,707.289
Type,N
FishN,15
Fish,10
Pond11Fish10_FishType,green
Pond11Fish10_FishLatency,7.5
Pond11Fish10_CatchTime,1.458
Pond11Fish10_PondTime,81.561
Pond11Fish10_PondOutcome,99
Pond11Fish10_TotalOutcome,541
Pond11Fish10_TimeLeft,696.34
Type,N
FishN,15
Fish,11
Pond11Fish11_FishType,green
Pond11Fish11_FishLatency,8.571428571428571
Pond11Fish11_CatchTime,1.313
Pond11Fish11_PondTime,93.945
Pond11Fish11_PondOutcome,110
Pond11Fish11_TotalOutcome,552
Pond11Fish11_TimeLeft,683.956
PondEnd_LastFish,11
FishN,17
Type,N
GiveUpTime,1.395
PondTime,94.854
TimeLeft,682.546
PondOutcome,110
TotalOutcome,552
PondStart,PondStart
PondIntroTime,14.830212807282805
Type,RD
FishN,18
Fish,1
Pond2Fish1_FishType,blue
Pond2Fish1_FishLatency,5
Pond2Fish1_CatchTime,1.489
Pond2Fish1_PondTime,9.73
Pond2Fish1_PondOutcome,12
Pond2Fish1_TotalOutcome,564
Pond2Fish1_TimeLeft,657.319
Type,RD
FishN,18
Fish,2
Pond2Fish2_FishType,blue
Pond2Fish2_FishLatency,5.454545454545454
Pond2Fish2_CatchTime,1.881
Pond2Fish2_PondTime,18.307
Pond2Fish2_PondOutcome,24
Pond2Fish2_TotalOutcome,576
Pond2Fish2_TimeLeft,648.742
Type,RD
FishN,18
Fish,3
Pond2Fish3_FishType,blue
Pond2Fish3_FishLatency,6
Pond2Fish3_CatchTime,1.617
Pond2Fish3_PondTime,27.342
Pond2Fish3_PondOutcome,36
Pond2Fish3_TotalOutcome,588
Pond2Fish3_TimeLeft,639.707
Type,RD
FishN,18
Fish,4
Pond2Fish4_FishType,blue
Pond2Fish4_FishLatency,6.666666666666667
Pond2Fish4_CatchTime,1.399
Pond2Fish4_PondTime,37.208
Pond2Fish4_PondOutcome,48
Pond2Fish4_TotalOutcome,600
Pond2Fish4_TimeLeft,629.841
Type,RD
FishN,18
Fish,5
Pond2Fish5_FishType,blue
Pond2Fish5_FishLatency,7.5
Pond2Fish5_CatchTime,1.164
Pond2Fish5_PondTime,48.171
Pond2Fish5_PondOutcome,60
Pond2Fish5_TotalOutcome,612
Pond2Fish5_TimeLeft,618.878
Type,RD
FishN,18
Fish,6
Pond2Fish6_FishType,blue
Pond2Fish6_FishLatency,8.571428571428571
Pond2Fish6_CatchTime,1.412
Pond2Fish6_PondTime,60.554
Pond2Fish6_PondOutcome,72
Pond2Fish6_TotalOutcome,624
Pond2Fish6_TimeLeft,606.495
Type,RD
FishN,18
Fish,7
Pond2Fish7_FishType,gray
Pond2Fish7_FishLatency,10
Pond2Fish7_CatchTime,1.587
Pond2Fish7_PondTime,74.939
Pond2Fish7_PondOutcome,74
Pond2Fish7_TotalOutcome,626
Pond2Fish7_TimeLeft,592.11
Type,RD
FishN,18
Fish,8
Pond2Fish8_FishType,blue
Pond2Fish8_FishLatency,12
Pond2Fish8_CatchTime,1.618
Pond2Fish8_PondTime,92.307
Pond2Fish8_PondOutcome,86
Pond2Fish8_TotalOutcome,638
Pond2Fish8_TimeLeft,574.742
Type,RD
FishN,18
Fish,9
Pond2Fish9_FishType,blue
Pond2Fish9_FishLatency,15
Pond2Fish9_CatchTime,1.279
Pond2Fish9_PondTime,114.672
Pond2Fish9_PondOutcome,98
Pond2Fish9_TotalOutcome,650
Pond2Fish9_TimeLeft,552.377
Type,RD
FishN,18
Fish,10
Pond2Fish10_FishType,blue
Pond2Fish10_FishLatency,20
Pond2Fish10_CatchTime,1.387
Pond2Fish10_PondTime,147.052
Pond2Fish10_PondOutcome,110
Pond2Fish10_TotalOutcome,662
Pond2Fish10_TimeLeft,519.997
PondEnd_LastFish,10
FishN,12
Type,RD
GiveUpTime,41.763
PondTime,188.415
TimeLeft,478.132
PondOutcome,110
TotalOutcome,662
PondStart,PondStart
PondIntroTime,12.733004339970648
Type,N
FishN,12
Fish,1
Pond7Fish1_FishType,green
Pond7Fish1_FishLatency,3.5294117647058822
Pond7Fish1_CatchTime,1.549
Pond7Fish1_PondTime,8.029
Pond7Fish1_PondOutcome,11
Pond7Fish1_TotalOutcome,673
Pond7Fish1_TimeLeft,456.726
Type,N
FishN,12
Fish,2
Pond7Fish2_FishType,green
Pond7Fish2_FishLatency,3.75
Pond7Fish2_CatchTime,1.276
Pond7Fish2_PondTime,14.404
Pond7Fish2_PondOutcome,22
Pond7Fish2_TotalOutcome,684
Pond7Fish2_TimeLeft,450.351
Type,N
FishN,12
Fish,3
Pond7Fish3_FishType,green
Pond7Fish3_FishLatency,4
Pond7Fish3_CatchTime,1.815
Pond7Fish3_PondTime,21.189
Pond7Fish3_PondOutcome,33
Pond7Fish3_TotalOutcome,695
Pond7Fish3_TimeLeft,443.566
Type,N
FishN,12
Fish,4
Pond7Fish4_FishType,green
Pond7Fish4_FishLatency,4.285714285714286
Pond7Fish4_CatchTime,1.807
Pond7Fish4_PondTime,28.288
Pond7Fish4_PondOutcome,44
Pond7Fish4_TotalOutcome,706
Pond7Fish4_TimeLeft,436.467
Type,N
FishN,12
Fish,5
Pond7Fish5_FishType,green
Pond7Fish5_FishLatency,4.615384615384615
Pond7Fish5_CatchTime,1.497
Pond7Fish5_PondTime,35.674
Pond7Fish5_PondOutcome,55
Pond7Fish5_TotalOutcome,717
Pond7Fish5_TimeLeft,429.081
Type,N
FishN,12
Fish,6
Pond7Fish6_FishType,green
Pond7Fish6_FishLatency,5
Pond7Fish6_CatchTime,1.474
Pond7Fish6_PondTime,43.519
Pond7Fish6_PondOutcome,66
Pond7Fish6_TotalOutcome,728
Pond7Fish6_TimeLeft,421.236
Type,N
FishN,12
Fish,7
Pond7Fish7_FishType,green
Pond7Fish7_FishLatency,5.454545454545454
Pond7Fish7_CatchTime,1.602
Pond7Fish7_PondTime,51.89
Pond7Fish7_PondOutcome,77
Pond7Fish7_TotalOutcome,739
Pond7Fish7_TimeLeft,412.865
Type,N
FishN,12
Fish,8
Pond7Fish8_FishType,green
Pond7Fish8_FishLatency,6
Pond7Fish8_CatchTime,1.501
Pond7Fish8_PondTime,60.954
Pond7Fish8_PondOutcome,88
Pond7Fish8_TotalOutcome,750
Pond7Fish8_TimeLeft,403.801
Type,N
FishN,12
Fish,9
Pond7Fish9_FishType,green
Pond7Fish9_FishLatency,6.666666666666667
Pond7Fish9_CatchTime,1.834
Pond7Fish9_PondTime,71.002
Pond7Fish9_PondOutcome,99
Pond7Fish9_TotalOutcome,761
Pond7Fish9_TimeLeft,393.753
Type,N
FishN,12
Fish,10
Pond7Fish10_FishType,green
Pond7Fish10_FishLatency,7.5
Pond7Fish10_CatchTime,1.269
Pond7Fish10_PondTime,81.953
Pond7Fish10_PondOutcome,110
Pond7Fish10_TotalOutcome,772
Pond7Fish10_TimeLeft,382.802
Type,N
FishN,12
Fish,11
Pond7Fish11_FishType,green
Pond7Fish11_FishLatency,8.571428571428571
Pond7Fish11_CatchTime,-1
Pond7Fish11_PondTime,94.401
Pond7Fish11_PondOutcome,110
Pond7Fish11_TotalOutcome,772
Pond7Fish11_TimeLeft,370.354
Type,N
FishN,12
Fish,12
Pond7Fish12_FishType,green
Pond7Fish12_FishLatency,10
Pond7Fish12_CatchTime,1.58
Pond7Fish12_PondTime,108.773
Pond7Fish12_PondOutcome,121
Pond7Fish12_TotalOutcome,783
Pond7Fish12_TimeLeft,355.982
Type,N
FishN,12
Fish,13
Pond7Fish13_FishType,green
Pond7Fish13_FishLatency,12
Pond7Fish13_CatchTime,1.353
Pond7Fish13_PondTime,126.169
Pond7Fish13_PondOutcome,132
Pond7Fish13_TotalOutcome,794
Pond7Fish13_TimeLeft,338.586
Type,N
FishN,12
Fish,14
Pond7Fish14_FishType,green
Pond7Fish14_FishLatency,15
Pond7Fish14_CatchTime,1.52
Pond7Fish14_PondTime,148.537
Pond7Fish14_PondOutcome,143
Pond7Fish14_TotalOutcome,805
Pond7Fish14_TimeLeft,316.218
Type,N
FishN,12
Fish,15
Pond7Fish15_FishType,green
Pond7Fish15_FishLatency,20
Pond7Fish15_CatchTime,1.711
Pond7Fish15_PondTime,180.916
Pond7Fish15_PondOutcome,154
Pond7Fish15_TotalOutcome,816
Pond7Fish15_TimeLeft,283.839
Type,N
FishN,12
Fish,16
Pond7Fish16_FishType,green
Pond7Fish16_FishLatency,30
Pond7Fish16_CatchTime,1.399
Pond7Fish16_PondTime,243.296
Pond7Fish16_PondOutcome,165
Pond7Fish16_TotalOutcome,827
Pond7Fish16_TimeLeft,221.459
Type,N
FishN,12
Fish,17
Pond7Fish17_FishType,green
Pond7Fish17_FishLatency,60
Pond7Fish17_CatchTime,1.415
Pond7Fish17_PondTime,245.682
Pond7Fish17_PondOutcome,176
Pond7Fish17_TotalOutcome,838
Pond7Fish17_TimeLeft,219.073
PondEnd_LastFish,17
FishN,17
Type,N
GiveUpTime,70.861
PondTime,316.172
TimeLeft,148.081
PondOutcome,176
TotalOutcome,838
PondStart,PondStart
PondIntroTime,10.172261230181903
Type,N
FishN,12
Fish,1
Pond5Fish1_FishType,green
Pond5Fish1_FishLatency,4
Pond5Fish1_CatchTime,1.395
Pond5Fish1_PondTime,8.564
Pond5Fish1_PondOutcome,11
Pond5Fish1_TotalOutcome,849
Pond5Fish1_TimeLeft,128.708
Type,N
FishN,12
Fish,2
Pond5Fish2_FishType,green
Pond5Fish2_FishLatency,4.285714285714286
Pond5Fish2_CatchTime,1.797
Pond5Fish2_PondTime,15.659
Pond5Fish2_PondOutcome,22
Pond5Fish2_TotalOutcome,860
Pond5Fish2_TimeLeft,121.613
Type,N
FishN,12
Fish,3
Pond5Fish3_FishType,green
Pond5Fish3_FishLatency,4.615384615384615
Pond5Fish3_CatchTime,1.387
Pond5Fish3_PondTime,23.041
Pond5Fish3_PondOutcome,33
Pond5Fish3_TotalOutcome,871
Pond5Fish3_TimeLeft,114.231
Type,N
FishN,12
Fish,4
Pond5Fish4_FishType,green
Pond5Fish4_FishLatency,5
Pond5Fish4_CatchTime,1.378
Pond5Fish4_PondTime,30.86
Pond5Fish4_PondOutcome,44
Pond5Fish4_TotalOutcome,882
Pond5Fish4_TimeLeft,106.412
Type,N
FishN,12
Fish,5
Pond5Fish5_FishType,green
Pond5Fish5_FishLatency,5.454545454545454
Pond5Fish5_CatchTime,1.308
Pond5Fish5_PondTime,39.243
Pond5Fish5_PondOutcome,55
Pond5Fish5_TotalOutcome,893
Pond5Fish5_TimeLeft,98.029
Type,N
FishN,12
Fish,6
Pond5Fish6_FishType,green
Pond5Fish6_FishLatency,6
Pond5Fish6_CatchTime,1.418
Pond5Fish6_PondTime,48.293
Pond5Fish6_PondOutcome,66
Pond5Fish6_TotalOutcome,904
Pond5Fish6_TimeLeft,88.979
Type,N
FishN,12
Fish,7
Pond5Fish7_FishType,green
Pond5Fish7_FishLatency,6.666666666666667
Pond5Fish7_CatchTime,1.395
Pond5Fish7_PondTime,58.176
Pond5Fish7_PondOutcome,77
Pond5Fish7_TotalOutcome,915
Pond5Fish7_TimeLeft,79.096
Type,N
FishN,12
Fish,8
Pond5Fish8_FishType,green
Pond5Fish8_FishLatency,7.5
Pond5Fish8_CatchTime,1.337
Pond5Fish8_PondTime,69.139
Pond5Fish8_PondOutcome,88
Pond5Fish8_TotalOutcome,926
Pond5Fish8_TimeLeft,68.133
Type,N
FishN,12
Fish,9
Pond5Fish9_FishType,green
Pond5Fish9_FishLatency,8.571428571428571
Pond5Fish9_CatchTime,1.357
Pond5Fish9_PondTime,81.514
Pond5Fish9_PondOutcome,99
Pond5Fish9_TotalOutcome,937
Pond5Fish9_TimeLeft,55.758
Type,N
FishN,12
Fish,10
Pond5Fish10_FishType,green
Pond5Fish10_FishLatency,10
Pond5Fish10_CatchTime,1.406
Pond5Fish10_PondTime,95.892
Pond5Fish10_PondOutcome,110
Pond5Fish10_TotalOutcome,948
Pond5Fish10_TimeLeft,41.38
Type,N
FishN,12
Fish,11
Pond5Fish11_FishType,green
Pond5Fish11_FishLatency,12
Pond5Fish11_CatchTime,1.688
Pond5Fish11_PondTime,113.255
Pond5Fish11_PondOutcome,121
Pond5Fish11_TotalOutcome,959
Pond5Fish11_TimeLeft,24.017
