,5ac8fd9f0527ba0001c23ddb
Pond12Fish14_GiveUpTime,25.553
Pond12Fish14_PondTime,22.623
Pond12Fish14_PondOutcome,143
Pond12Fish14_TotalOutcome,407
Pond12Fish14_TimeLeft,553.999
Pond4IntroTime,14.970993425231427
Pond11_Type,N
Pond11Fish1_FishType,green
Pond11Fish1_FishLatency,3.3333333333333335
Pond11Fish1_CatchTime,1.239
Pond11Fish1_GiveUpTime,-1
Pond11Fish1_PondTime,26.173
Pond11Fish1_PondOutcome,11
Pond11Fish1_TotalOutcome,418
Pond11Fish1_TimeLeft,527.825
Pond11_Type,N
Pond11Fish2_FishType,green
Pond11Fish2_FishLatency,3.5294117647058822
Pond11Fish2_CatchTime,1.047
Pond11Fish2_GiveUpTime,-1
Pond11Fish2_PondTime,7.847
Pond11Fish2_PondOutcome,22
Pond11Fish2_TotalOutcome,429
Pond11Fish2_TimeLeft,519.977
Pond11_Type,N
Pond11Fish3_FishType,green
Pond11Fish3_FishLatency,3.75
Pond11Fish3_CatchTime,1.13
Pond11Fish3_GiveUpTime,-1
Pond11Fish3_PondTime,8.084
Pond11Fish3_PondOutcome,33
Pond11Fish3_TotalOutcome,440
Pond11Fish3_TimeLeft,511.893
Pond11_Type,N
Pond11Fish4_FishType,green
Pond11Fish4_FishLatency,4
Pond11Fish4_CatchTime,0.797
Pond11Fish4_GiveUpTime,-1
Pond11Fish4_PondTime,8.382
Pond11Fish4_PondOutcome,44
Pond11Fish4_TotalOutcome,451
Pond11Fish4_TimeLeft,503.51
Pond11_Type,N
Pond11Fish5_FishType,green
Pond11Fish5_FishLatency,4.285714285714286
Pond11Fish5_CatchTime,1.44
Pond11Fish5_GiveUpTime,-1
Pond11Fish5_PondTime,8.714
Pond11Fish5_PondOutcome,55
Pond11Fish5_TotalOutcome,462
Pond11Fish5_TimeLeft,494.795
Pond11_Type,N
Pond11Fish6_FishType,green
Pond11Fish6_FishLatency,4.615384615384615
Pond11Fish6_CatchTime,0.972
Pond11Fish6_GiveUpTime,-1
Pond11Fish6_PondTime,9.101
Pond11Fish6_PondOutcome,66
Pond11Fish6_TotalOutcome,473
Pond11Fish6_TimeLeft,485.693
Pond11_Type,N
Pond11Fish7_FishType,green
Pond11Fish7_FishLatency,5
Pond11Fish7_CatchTime,1.3
Pond11Fish7_GiveUpTime,-1
Pond11Fish7_PondTime,9.55
Pond11Fish7_PondOutcome,77
Pond11Fish7_TotalOutcome,484
Pond11Fish7_TimeLeft,476.142
Pond11_Type,N
Pond11Fish8_FishType,green
Pond11Fish8_FishLatency,5.454545454545454
Pond11Fish8_CatchTime,1.339
Pond11Fish8_GiveUpTime,-1
Pond11Fish8_PondTime,10.096
Pond11Fish8_PondOutcome,88
Pond11Fish8_TotalOutcome,495
Pond11Fish8_TimeLeft,466.046
Pond11_Type,N
Pond11Fish9_FishType,green
Pond11Fish9_FishLatency,6
Pond11Fish9_CatchTime,1.005
Pond11Fish9_GiveUpTime,-1
Pond11Fish9_PondTime,10.766
Pond11Fish9_PondOutcome,99
Pond11Fish9_TotalOutcome,506
Pond11Fish9_TimeLeft,455.28
Pond11_Type,N
Pond11Fish10_FishType,green
Pond11Fish10_FishLatency,6.666666666666667
Pond11Fish10_CatchTime,1.055
Pond11Fish10_GiveUpTime,-1
Pond11Fish10_PondTime,11.599
Pond11Fish10_PondOutcome,110
Pond11Fish10_TotalOutcome,517
Pond11Fish10_TimeLeft,443.681
Pond11_Type,N
Pond11Fish11_FishType,green
Pond11Fish11_FishLatency,7.5
Pond11Fish11_CatchTime,1.003
Pond11Fish11_GiveUpTime,-1
Pond11Fish11_PondTime,12.667
Pond11Fish11_PondOutcome,121
Pond11Fish11_TotalOutcome,528
Pond11Fish11_TimeLeft,431.013
Pond11_Type,N
Pond11Fish12_FishType,green
Pond11Fish12_FishLatency,8.571428571428571
Pond11Fish12_CatchTime,1.168
Pond11Fish12_GiveUpTime,-1
Pond11Fish12_PondTime,14.097
Pond11Fish12_PondOutcome,132
Pond11Fish12_TotalOutcome,539
Pond11Fish12_TimeLeft,416.915
Pond11_Type,N
Pond11Fish13_FishType,green
Pond11Fish13_FishLatency,10
Pond11Fish13_CatchTime,1.204
Pond11Fish13_GiveUpTime,-1
Pond11Fish13_PondTime,16.099
Pond11Fish13_PondOutcome,143
Pond11Fish13_TotalOutcome,550
Pond11Fish13_TimeLeft,400.815
Pond11_Type,N
Pond11Fish14_FishType,green
Pond11Fish14_FishLatency,12
Pond11Fish14_CatchTime,0.944
Pond11Fish14_GiveUpTime,-1
Pond11Fish14_PondTime,19.098
Pond11Fish14_PondOutcome,154
Pond11Fish14_TotalOutcome,561
Pond11Fish14_TimeLeft,381.716
Pond11_Type,N
Pond11Fish15_FishType,green
Pond11Fish15_FishLatency,15
Pond11Fish15_CatchTime,1.246
Pond11Fish15_GiveUpTime,-1
Pond11Fish15_PondTime,24.099
Pond11Fish15_PondOutcome,165
Pond11Fish15_TotalOutcome,572
Pond11Fish15_TimeLeft,357.616
Pond11_Type,N
Pond11Fish16_FishType,green
Pond11Fish16_FishLatency,20
Pond11Fish16_CatchTime,-1
Pond11Fish16_GiveUpTime,26.878
Pond11Fish16_PondTime,24.415
Pond11Fish16_PondOutcome,165
Pond11Fish16_TotalOutcome,572
Pond11Fish16_TimeLeft,333.201
Pond5IntroTime,12.371234628371894
Pond1_Type,N
Pond1Fish1_FishType,green
Pond1Fish1_FishLatency,3.3333333333333335
Pond1Fish1_CatchTime,1.105
Pond1Fish1_GiveUpTime,-1
Pond1Fish1_PondTime,23.582
Pond1Fish1_PondOutcome,11
Pond1Fish1_TotalOutcome,583
Pond1Fish1_TimeLeft,309.619
Pond1_Type,N
Pond1Fish2_FishType,green
Pond1Fish2_FishLatency,3.5294117647058822
Pond1Fish2_CatchTime,0.896
Pond1Fish2_GiveUpTime,-1
Pond1Fish2_PondTime,7.847
Pond1Fish2_PondOutcome,22
Pond1Fish2_TotalOutcome,594
Pond1Fish2_TimeLeft,301.771
Pond1_Type,N
Pond1Fish3_FishType,green
Pond1Fish3_FishLatency,3.75
Pond1Fish3_CatchTime,1.252
Pond1Fish3_GiveUpTime,-1
Pond1Fish3_PondTime,8.1
Pond1Fish3_PondOutcome,33
Pond1Fish3_TotalOutcome,605
Pond1Fish3_TimeLeft,293.67
Pond1_Type,N
Pond1Fish4_FishType,green
Pond1Fish4_FishLatency,4
Pond1Fish4_CatchTime,1.308
Pond1Fish4_GiveUpTime,-1
Pond1Fish4_PondTime,8.382
Pond1Fish4_PondOutcome,44
Pond1Fish4_TotalOutcome,616
Pond1Fish4_TimeLeft,285.287
Pond1_Type,N
Pond1Fish5_FishType,green
Pond1Fish5_FishLatency,4.285714285714286
Pond1Fish5_CatchTime,0.64
Pond1Fish5_GiveUpTime,-1
Pond1Fish5_PondTime,8.718
Pond1Fish5_PondOutcome,55
Pond1Fish5_TotalOutcome,627
Pond1Fish5_TimeLeft,276.568
Pond1_Type,N
Pond1Fish6_FishType,green
Pond1Fish6_FishLatency,4.615384615384615
Pond1Fish6_CatchTime,1.238
Pond1Fish6_GiveUpTime,-1
Pond1Fish6_PondTime,9.096
Pond1Fish6_PondOutcome,66
Pond1Fish6_TotalOutcome,638
Pond1Fish6_TimeLeft,267.472
Pond1_Type,N
Pond1Fish7_FishType,green
Pond1Fish7_FishLatency,5
Pond1Fish7_CatchTime,1.335
Pond1Fish7_GiveUpTime,-1
Pond1Fish7_PondTime,9.551
Pond1Fish7_PondOutcome,77
Pond1Fish7_TotalOutcome,649
Pond1Fish7_TimeLeft,257.92
Pond1_Type,N
Pond1Fish8_FishType,green
Pond1Fish8_FishLatency,5.454545454545454
Pond1Fish8_CatchTime,0.811
Pond1Fish8_GiveUpTime,-1
Pond1Fish8_PondTime,10.096
Pond1Fish8_PondOutcome,88
Pond1Fish8_TotalOutcome,660
Pond1Fish8_TimeLeft,247.824
Pond1_Type,N
Pond1Fish9_FishType,green
Pond1Fish9_FishLatency,6
Pond1Fish9_CatchTime,1.045
Pond1Fish9_GiveUpTime,-1
Pond1Fish9_PondTime,10.767
Pond1Fish9_PondOutcome,99
Pond1Fish9_TotalOutcome,671
Pond1Fish9_TimeLeft,237.056
Pond1_Type,N
Pond1Fish10_FishType,green
Pond1Fish10_FishLatency,6.666666666666667
Pond1Fish10_CatchTime,0.966
Pond1Fish10_GiveUpTime,-1
Pond1Fish10_PondTime,11.597
Pond1Fish10_PondOutcome,110
Pond1Fish10_TotalOutcome,682
Pond1Fish10_TimeLeft,225.457
Pond1_Type,N
Pond1Fish11_FishType,green
Pond1Fish11_FishLatency,7.5
Pond1Fish11_CatchTime,1.236
Pond1Fish11_GiveUpTime,-1
Pond1Fish11_PondTime,12.666
Pond1Fish11_PondOutcome,121
Pond1Fish11_TotalOutcome,693
Pond1Fish11_TimeLeft,212.791
Pond1_Type,N
Pond1Fish12_FishType,green
Pond1Fish12_FishLatency,8.571428571428571
Pond1Fish12_CatchTime,1.864
Pond1Fish12_GiveUpTime,-1
Pond1Fish12_PondTime,14.099
Pond1Fish12_PondOutcome,132
Pond1Fish12_TotalOutcome,704
Pond1Fish12_TimeLeft,198.691
Pond1_Type,N
Pond1Fish13_FishType,green
Pond1Fish13_FishLatency,10
Pond1Fish13_CatchTime,1.235
Pond1Fish13_GiveUpTime,-1
Pond1Fish13_PondTime,16.1
Pond1Fish13_PondOutcome,143
Pond1Fish13_TotalOutcome,715
Pond1Fish13_TimeLeft,182.591
Pond1_Type,N
Pond1Fish14_FishType,green
Pond1Fish14_FishLatency,12
Pond1Fish14_CatchTime,1.099
Pond1Fish14_GiveUpTime,-1
Pond1Fish14_PondTime,19.096
Pond1Fish14_PondOutcome,154
Pond1Fish14_TotalOutcome,726
Pond1Fish14_TimeLeft,163.494
Pond1_Type,N
Pond1Fish15_FishType,green
Pond1Fish15_FishLatency,15
Pond1Fish15_CatchTime,-1
Pond1Fish15_GiveUpTime,16.218
Pond1Fish15_PondTime,13.605
Pond1Fish15_PondOutcome,154
Pond1Fish15_TotalOutcome,726
Pond1Fish15_TimeLeft,149.888
Pond6IntroTime,13.423908036202192
Pond9_Type,N
Pond9Fish1_FishType,green
Pond9Fish1_FishLatency,3.1578947368421053
Pond9Fish1_CatchTime,1.163
Pond9Fish1_GiveUpTime,-1
Pond9Fish1_PondTime,24.428
Pond9Fish1_PondOutcome,11
Pond9Fish1_TotalOutcome,737
Pond9Fish1_TimeLeft,125.46
Pond9_Type,N
Pond9Fish2_FishType,green
Pond9Fish2_FishLatency,3.3333333333333335
Pond9Fish2_CatchTime,0.969
Pond9Fish2_GiveUpTime,-1
Pond9Fish2_PondTime,7.615
Pond9Fish2_PondOutcome,22
Pond9Fish2_TotalOutcome,748
Pond9Fish2_TimeLeft,117.844
Pond9_Type,N
Pond9Fish3_FishType,green
Pond9Fish3_FishLatency,3.5294117647058822
Pond9Fish3_CatchTime,1.122
Pond9Fish3_GiveUpTime,-1
Pond9Fish3_PondTime,7.847
Pond9Fish3_PondOutcome,33
Pond9Fish3_TotalOutcome,759
Pond9Fish3_TimeLeft,109.996
Pond9_Type,N
Pond9Fish4_FishType,green
Pond9Fish4_FishLatency,3.75
Pond9Fish4_CatchTime,1.085
Pond9Fish4_GiveUpTime,-1
Pond9Fish4_PondTime,8.101
Pond9Fish4_PondOutcome,44
Pond9Fish4_TotalOutcome,770
Pond9Fish4_TimeLeft,101.894
Pond9_Type,N
Pond9Fish5_FishType,green
Pond9Fish5_FishLatency,4
Pond9Fish5_CatchTime,1.031
Pond9Fish5_GiveUpTime,-1
Pond9Fish5_PondTime,8.379
Pond9Fish5_PondOutcome,55
Pond9Fish5_TotalOutcome,781
Pond9Fish5_TimeLeft,93.514
Pond9_Type,N
Pond9Fish6_FishType,green
Pond9Fish6_FishLatency,4.285714285714286
Pond9Fish6_CatchTime,1.523
Pond9Fish6_GiveUpTime,-1
Pond9Fish6_PondTime,8.714
Pond9Fish6_PondOutcome,66
Pond9Fish6_TotalOutcome,792
Pond9Fish6_TimeLeft,84.799
Pond9_Type,N
Pond9Fish7_FishType,green
Pond9Fish7_FishLatency,4.615384615384615
Pond9Fish7_CatchTime,1.35
Pond9Fish7_GiveUpTime,-1
Pond9Fish7_PondTime,9.103
Pond9Fish7_PondOutcome,77
Pond9Fish7_TotalOutcome,803
Pond9Fish7_TimeLeft,75.696
Pond9_Type,N
Pond9Fish8_FishType,green
Pond9Fish8_FishLatency,5
Pond9Fish8_CatchTime,0.858
Pond9Fish8_GiveUpTime,-1
Pond9Fish8_PondTime,9.546
Pond9Fish8_PondOutcome,88
Pond9Fish8_TotalOutcome,814
Pond9Fish8_TimeLeft,66.149
Pond9_Type,N
Pond9Fish9_FishType,green
Pond9Fish9_FishLatency,5.454545454545454
Pond9Fish9_CatchTime,1.246
Pond9Fish9_GiveUpTime,-1
Pond9Fish9_PondTime,10.102
Pond9Fish9_PondOutcome,99
Pond9Fish9_TotalOutcome,825
Pond9Fish9_TimeLeft,56.046
Pond9_Type,N
Pond9Fish10_FishType,green
Pond9Fish10_FishLatency,6
Pond9Fish10_CatchTime,1.238
Pond9Fish10_GiveUpTime,-1
Pond9Fish10_PondTime,10.764
Pond9Fish10_PondOutcome,110
Pond9Fish10_TotalOutcome,836
Pond9Fish10_TimeLeft,45.281
Pond9_Type,N
Pond9Fish11_FishType,green
Pond9Fish11_FishLatency,6.666666666666667
Pond9Fish11_CatchTime,1.319
Pond9Fish11_GiveUpTime,-1
Pond9Fish11_PondTime,11.599
Pond9Fish11_PondOutcome,121
Pond9Fish11_TotalOutcome,847
Pond9Fish11_TimeLeft,33.681
Pond9_Type,N
Pond9Fish12_FishType,green
Pond9Fish12_FishLatency,7.5
Pond9Fish12_CatchTime,1.07
Pond9Fish12_GiveUpTime,-1
Pond9Fish12_PondTime,12.664
Pond9Fish12_PondOutcome,132
Pond9Fish12_TotalOutcome,858
Pond9Fish12_TimeLeft,21.017
Pond9_Type,N
Pond9Fish13_FishType,green
Pond9Fish13_FishLatency,8.571428571428571
Pond9Fish13_CatchTime,1.236
Pond9Fish13_GiveUpTime,-1
Pond9Fish13_PondTime,14.097
Pond9Fish13_PondOutcome,143
Pond9Fish13_TotalOutcome,869
Pond9Fish13_TimeLeft,6.919
