,5d88a7b0df172700011b2d11
PlayerDetails,5d88a7b0df172700011b2d11
GameCompleted,declined
GameTime,1200
FishVisibilityTime,2
SecondPerFishRatio,60
MissingThreshold,5
RD_GoldFishProbability,0
RD_GoldFishOutcome,0
RD_BlueFishProbability,0
RD_BlueFishOutcome,0
RD_GreenFishProbability,0
RD_GreenFishOutcome,0
RD_PurpleFishProbability,0
RD_PurpleFishOutcome,0
RD_GreyFishProbability,0
RD_GreyFishOutcome,0
RT_GoldFishProbability,0
RT_GoldFishOutcome,0
RT_BlueFishProbability,0
RT_BlueFishOutcome,0
RT_GreenFishProbability,0
RT_GreenFishOutcome,0
RT_PurpleFishProbability,0
RT_PurpleFishOutcome,0
RT_GreyFishProbability,0
RT_GreyFishOutcome,0
N_GoldFishProbability,0
N_GoldFishOutcome,0
N_BlueFishProbability,0
N_BlueFishOutcome,0
N_GreenFishProbability,1
N_GreenFishOutcome,11
N_PurpleFishProbability,0
N_PurpleFishOutcome,0
N_GreyFishProbability,0
N_GreyFishOutcome,0
Pond1Type,N
Pond1FishN,18
Pond2Type,N
Pond2FishN,13
Pond3Type,N
Pond3FishN,19
Pond4Type,N
Pond4FishN,19
Pond5Type,N
Pond5FishN,14
Pond6Type,N
Pond6FishN,18
Pond7Type,N
Pond7FishN,17
Pond8Type,N
Pond8FishN,16
Pond9Type,N
Pond9FishN,19
Pond10Type,N
Pond10FishN,12
Pond11Type,N
Pond11FishN,18
Pond12Type,N
Pond12FishN,16
Date:,Fri Sep 27 2019 10:20:37 GMT+0100 (Hora de verão da Europa Ocidental)
Pond12_Type,N
Pond12Fish1_FishType,green
Pond12Fish1_FishLatency,3.75
Pond12Fish1_CatchTime,1.588
Pond12Fish1_GiveUpTime,-1
Pond12Fish1_PondTime,8.091
Pond12Fish1_PondOutcome,11
Pond12Fish1_TotalOutcome,11
Pond12Fish1_TimeLeft,1189.907
Pond12_Type,N
Pond12Fish2_FishType,green
Pond12Fish2_FishLatency,4
Pond12Fish2_CatchTime,1.367
Pond12Fish2_GiveUpTime,-1
Pond12Fish2_PondTime,8.381
Pond12Fish2_PondOutcome,22
Pond12Fish2_TotalOutcome,22
Pond12Fish2_TimeLeft,1181.526
Pond12_Type,N
Pond12Fish3_FishType,green
Pond12Fish3_FishLatency,4.285714285714286
Pond12Fish3_CatchTime,1.886
Pond12Fish3_GiveUpTime,-1
Pond12Fish3_PondTime,8.72
Pond12Fish3_PondOutcome,33
Pond12Fish3_TotalOutcome,33
Pond12Fish3_TimeLeft,1172.805
Pond12_Type,N
Pond12Fish4_FishType,green
Pond12Fish4_FishLatency,4.615384615384615
Pond12Fish4_CatchTime,1.1
Pond12Fish4_GiveUpTime,-1
Pond12Fish4_PondTime,9.098
Pond12Fish4_PondOutcome,44
Pond12Fish4_TotalOutcome,44
Pond12Fish4_TimeLeft,1163.707
Pond12_Type,N
Pond12Fish5_FishType,green
Pond12Fish5_FishLatency,5
Pond12Fish5_CatchTime,1.383
Pond12Fish5_GiveUpTime,-1
Pond12Fish5_PondTime,9.548
Pond12Fish5_PondOutcome,55
Pond12Fish5_TotalOutcome,55
Pond12Fish5_TimeLeft,1154.158
Pond12_Type,N
Pond12Fish6_FishType,green
Pond12Fish6_FishLatency,5.454545454545454
Pond12Fish6_CatchTime,2.874
Pond12Fish6_GiveUpTime,-1
Pond12Fish6_PondTime,10.101
Pond12Fish6_PondOutcome,66
Pond12Fish6_TotalOutcome,66
Pond12Fish6_TimeLeft,1144.057
Pond12_Type,N
Pond12Fish7_FishType,green
Pond12Fish7_FishLatency,6
Pond12Fish7_CatchTime,-1
Pond12Fish7_GiveUpTime,-1
Pond12Fish7_PondTime,10.832
Pond12Fish7_PondOutcome,66
Pond12Fish7_TotalOutcome,66
Pond12Fish7_TimeLeft,1133.225
Pond12_Type,N
Pond12Fish8_FishType,green
Pond12Fish8_FishLatency,6.666666666666667
Pond12Fish8_CatchTime,1.273
Pond12Fish8_GiveUpTime,-1
Pond12Fish8_PondTime,11.584
Pond12Fish8_PondOutcome,77
Pond12Fish8_TotalOutcome,77
Pond12Fish8_TimeLeft,1121.641
Pond12_Type,N
Pond12Fish9_FishType,green
Pond12Fish9_FishLatency,7.5
Pond12Fish9_CatchTime,0.926
Pond12Fish9_GiveUpTime,-1
Pond12Fish9_PondTime,12.666
Pond12Fish9_PondOutcome,88
Pond12Fish9_TotalOutcome,88
Pond12Fish9_TimeLeft,1108.975
Pond12_Type,N
Pond12Fish10_FishType,green
Pond12Fish10_FishLatency,8.571428571428571
Pond12Fish10_CatchTime,1.147
Pond12Fish10_GiveUpTime,-1
Pond12Fish10_PondTime,14.116
Pond12Fish10_PondOutcome,99
Pond12Fish10_TotalOutcome,99
Pond12Fish10_TimeLeft,1094.859
Pond12_Type,N
Pond12Fish11_FishType,green
Pond12Fish11_FishLatency,10
Pond12Fish11_CatchTime,-1
Pond12Fish11_GiveUpTime,0.835
Pond12Fish11_PondTime,14.325
Pond12Fish11_PondOutcome,99
Pond12Fish11_TotalOutcome,99
Pond12Fish11_TimeLeft,1080.534
Pond2IntroTime,13.03562942892313
Pond8_Type,N
Pond8Fish1_FishType,green
Pond8Fish1_FishLatency,3.75
Pond8Fish1_CatchTime,1.216
Pond8Fish1_GiveUpTime,-1
Pond8Fish1_PondTime,24.727
Pond8Fish1_PondOutcome,11
Pond8Fish1_TotalOutcome,110
Pond8Fish1_TimeLeft,1055.807
Pond8_Type,N
Pond8Fish2_FishType,green
Pond8Fish2_FishLatency,4
Pond8Fish2_CatchTime,0.976
Pond8Fish2_GiveUpTime,-1
Pond8Fish2_PondTime,8.399
Pond8Fish2_PondOutcome,22
Pond8Fish2_TotalOutcome,121
Pond8Fish2_TimeLeft,1047.408
Pond8_Type,N
Pond8Fish3_FishType,green
Pond8Fish3_FishLatency,4.285714285714286
Pond8Fish3_CatchTime,1.074
Pond8Fish3_GiveUpTime,-1
Pond8Fish3_PondTime,8.717
Pond8Fish3_PondOutcome,33
Pond8Fish3_TotalOutcome,132
Pond8Fish3_TimeLeft,1038.69
Pond8_Type,N
Pond8Fish4_FishType,green
Pond8Fish4_FishLatency,4.615384615384615
Pond8Fish4_CatchTime,1.326
Pond8Fish4_GiveUpTime,-1
Pond8Fish4_PondTime,9.117
Pond8Fish4_PondOutcome,44
Pond8Fish4_TotalOutcome,143
Pond8Fish4_TimeLeft,1029.573
Pond8_Type,N
Pond8Fish5_FishType,green
Pond8Fish5_FishLatency,5
Pond8Fish5_CatchTime,0.911
Pond8Fish5_GiveUpTime,-1
Pond8Fish5_PondTime,9.549
Pond8Fish5_PondOutcome,55
Pond8Fish5_TotalOutcome,154
Pond8Fish5_TimeLeft,1020.024
Pond8_Type,N
Pond8Fish6_FishType,green
Pond8Fish6_FishLatency,5.454545454545454
Pond8Fish6_CatchTime,1.277
Pond8Fish6_GiveUpTime,-1
Pond8Fish6_PondTime,10.098
Pond8Fish6_PondOutcome,66
Pond8Fish6_TotalOutcome,165
Pond8Fish6_TimeLeft,1009.926
Pond8_Type,N
Pond8Fish7_FishType,green
Pond8Fish7_FishLatency,6
Pond8Fish7_CatchTime,1.021
Pond8Fish7_GiveUpTime,-1
Pond8Fish7_PondTime,10.752
Pond8Fish7_PondOutcome,77
Pond8Fish7_TotalOutcome,176
Pond8Fish7_TimeLeft,999.174
Pond8_Type,N
Pond8Fish8_FishType,green
Pond8Fish8_FishLatency,6.666666666666667
Pond8Fish8_CatchTime,1.495
Pond8Fish8_GiveUpTime,-1
Pond8Fish8_PondTime,11.6
Pond8Fish8_PondOutcome,88
Pond8Fish8_TotalOutcome,187
Pond8Fish8_TimeLeft,987.574
Pond8_Type,N
Pond8Fish9_FishType,green
Pond8Fish9_FishLatency,7.5
Pond8Fish9_CatchTime,1.506
Pond8Fish9_GiveUpTime,-1
Pond8Fish9_PondTime,12.668
Pond8Fish9_PondOutcome,99
Pond8Fish9_TotalOutcome,198
Pond8Fish9_TimeLeft,974.906
Pond8_Type,N
Pond8Fish10_FishType,green
Pond8Fish10_FishLatency,8.571428571428571
Pond8Fish10_CatchTime,1.247
Pond8Fish10_GiveUpTime,-1
Pond8Fish10_PondTime,14.1
Pond8Fish10_PondOutcome,110
Pond8Fish10_TotalOutcome,209
Pond8Fish10_TimeLeft,960.806
Pond8_Type,N
Pond8Fish11_FishType,green
Pond8Fish11_FishLatency,10
Pond8Fish11_CatchTime,1.332
Pond8Fish11_GiveUpTime,-1
Pond8Fish11_PondTime,16.099
Pond8Fish11_PondOutcome,121
Pond8Fish11_TotalOutcome,220
Pond8Fish11_TimeLeft,944.707
Pond8_Type,N
Pond8Fish12_FishType,green
Pond8Fish12_FishLatency,12
Pond8Fish12_CatchTime,1.608
Pond8Fish12_GiveUpTime,-1
Pond8Fish12_PondTime,19.101
Pond8Fish12_PondOutcome,132
Pond8Fish12_TotalOutcome,231
Pond8Fish12_TimeLeft,925.606
Pond8_Type,N
Pond8Fish13_FishType,green
Pond8Fish13_FishLatency,15
Pond8Fish13_CatchTime,-1
Pond8Fish13_GiveUpTime,22.286
Pond8Fish13_PondTime,20.19
Pond8Fish13_PondOutcome,132
Pond8Fish13_TotalOutcome,231
Pond8Fish13_TimeLeft,905.416
Pond3IntroTime,18.788458618801087
Pond9_Type,N
Pond9Fish1_FishType,green
Pond9Fish1_FishLatency,3.1578947368421053
Pond9Fish1_CatchTime,1.189
Pond9Fish1_GiveUpTime,-1
Pond9Fish1_PondTime,29.797
Pond9Fish1_PondOutcome,11
Pond9Fish1_TotalOutcome,242
Pond9Fish1_TimeLeft,875.619
Pond9_Type,N
Pond9Fish2_FishType,green
Pond9Fish2_FishLatency,3.3333333333333335
Pond9Fish2_CatchTime,2.845
Pond9Fish2_GiveUpTime,-1
Pond9Fish2_PondTime,7.629
Pond9Fish2_PondOutcome,22
Pond9Fish2_TotalOutcome,253
Pond9Fish2_TimeLeft,867.99
Pond9_Type,N
Pond9Fish3_FishType,green
Pond9Fish3_FishLatency,3.5294117647058822
Pond9Fish3_CatchTime,1.741
Pond9Fish3_GiveUpTime,-1
Pond9Fish3_PondTime,7.849
Pond9Fish3_PondOutcome,33
Pond9Fish3_TotalOutcome,264
Pond9Fish3_TimeLeft,860.141
Pond9_Type,N
Pond9Fish4_FishType,green
Pond9Fish4_FishLatency,3.75
Pond9Fish4_CatchTime,1.12
Pond9Fish4_GiveUpTime,-1
Pond9Fish4_PondTime,8.084
Pond9Fish4_PondOutcome,44
Pond9Fish4_TotalOutcome,275
Pond9Fish4_TimeLeft,852.057
Pond9_Type,N
Pond9Fish5_FishType,green
Pond9Fish5_FishLatency,4
Pond9Fish5_CatchTime,1.336
Pond9Fish5_GiveUpTime,-1
Pond9Fish5_PondTime,8.382
Pond9Fish5_PondOutcome,55
Pond9Fish5_TotalOutcome,286
Pond9Fish5_TimeLeft,843.674
Pond9_Type,N
Pond9Fish6_FishType,green
Pond9Fish6_FishLatency,4.285714285714286
Pond9Fish6_CatchTime,1.052
Pond9Fish6_GiveUpTime,-1
Pond9Fish6_PondTime,8.701
Pond9Fish6_PondOutcome,66
Pond9Fish6_TotalOutcome,297
Pond9Fish6_TimeLeft,834.973
Pond9_Type,N
Pond9Fish7_FishType,green
Pond9Fish7_FishLatency,4.615384615384615
Pond9Fish7_CatchTime,1.16
Pond9Fish7_GiveUpTime,-1
Pond9Fish7_PondTime,9.1
Pond9Fish7_PondOutcome,77
Pond9Fish7_TotalOutcome,308
Pond9Fish7_TimeLeft,825.873
Pond9_Type,N
Pond9Fish8_FishType,green
Pond9Fish8_FishLatency,5
Pond9Fish8_CatchTime,2.484
Pond9Fish8_GiveUpTime,-1
Pond9Fish8_PondTime,10.232
Pond9Fish8_PondOutcome,88
Pond9Fish8_TotalOutcome,319
Pond9Fish8_TimeLeft,815.641
Pond9_Type,N
Pond9Fish9_FishType,green
Pond9Fish9_FishLatency,5.454545454545454
Pond9Fish9_CatchTime,0.923
Pond9Fish9_GiveUpTime,-1
Pond9Fish9_PondTime,11.132
Pond9Fish9_PondOutcome,99
Pond9Fish9_TotalOutcome,330
Pond9Fish9_TimeLeft,804.508
Pond9_Type,N
Pond9Fish10_FishType,green
Pond9Fish10_FishLatency,6
Pond9Fish10_CatchTime,1.534
Pond9Fish10_GiveUpTime,-1
Pond9Fish10_PondTime,12.318
Pond9Fish10_PondOutcome,110
Pond9Fish10_TotalOutcome,341
Pond9Fish10_TimeLeft,792.19
Pond9_Type,N
Pond9Fish11_FishType,green
Pond9Fish11_FishLatency,6.666666666666667
Pond9Fish11_CatchTime,0.917
Pond9Fish11_GiveUpTime,-1
Pond9Fish11_PondTime,11.584
Pond9Fish11_PondOutcome,121
Pond9Fish11_TotalOutcome,352
Pond9Fish11_TimeLeft,780.606
Pond9_Type,N
Pond9Fish12_FishType,green
Pond9Fish12_FishLatency,7.5
Pond9Fish12_CatchTime,3.019
Pond9Fish12_GiveUpTime,-1
Pond9Fish12_PondTime,12.667
Pond9Fish12_PondOutcome,132
Pond9Fish12_TotalOutcome,363
Pond9Fish12_TimeLeft,767.939
Pond9_Type,N
Pond9Fish13_FishType,green
Pond9Fish13_FishLatency,8.571428571428571
Pond9Fish13_CatchTime,1.417
Pond9Fish13_GiveUpTime,-1
Pond9Fish13_PondTime,14.1
Pond9Fish13_PondOutcome,143
Pond9Fish13_TotalOutcome,374
Pond9Fish13_TimeLeft,753.839
Pond9_Type,N
Pond9Fish14_FishType,green
Pond9Fish14_FishLatency,10
Pond9Fish14_CatchTime,0.979
Pond9Fish14_GiveUpTime,-1
Pond9Fish14_PondTime,16.083
Pond9Fish14_PondOutcome,154
Pond9Fish14_TotalOutcome,385
Pond9Fish14_TimeLeft,737.756
Pond9_Type,N
Pond9Fish15_FishType,green
Pond9Fish15_FishLatency,12
Pond9Fish15_CatchTime,2.657
Pond9Fish15_GiveUpTime,-1
Pond9Fish15_PondTime,19.098
Pond9Fish15_PondOutcome,165
Pond9Fish15_TotalOutcome,396
Pond9Fish15_TimeLeft,718.657
Pond9_Type,N
Pond9Fish16_FishType,green
Pond9Fish16_FishLatency,15
Pond9Fish16_CatchTime,-1
Pond9Fish16_GiveUpTime,2.021
Pond9Fish16_PondTime,0.977
Pond9Fish16_PondOutcome,165
Pond9Fish16_TotalOutcome,396
Pond9Fish16_TimeLeft,717.68
Pond4IntroTime,13.120927240233868
Pond4_Type,N
Pond4Fish1_FishType,green
Pond4Fish1_FishLatency,3.1578947368421053
Pond4Fish1_CatchTime,0.158
Pond4Fish1_GiveUpTime,-1
Pond4Fish1_PondTime,23.107
Pond4Fish1_PondOutcome,11
Pond4Fish1_TotalOutcome,407
Pond4Fish1_TimeLeft,694.573
Pond4_Type,N
Pond4Fish2_FishType,green
Pond4Fish2_FishLatency,3.3333333333333335
Pond4Fish2_CatchTime,-1
Pond4Fish2_GiveUpTime,-1
Pond4Fish2_PondTime,0.978
Pond4Fish2_PondOutcome,11
Pond4Fish2_TotalOutcome,407
Pond4Fish2_TimeLeft,693.595
Pond4_Type,N
Pond4Fish3_FishType,green
Pond4Fish3_FishLatency,3.5294117647058822
Pond4Fish3_CatchTime,1.081
Pond4Fish3_GiveUpTime,-1
Pond4Fish3_PondTime,6.64
Pond4Fish3_PondOutcome,22
Pond4Fish3_TotalOutcome,418
Pond4Fish3_TimeLeft,686.954
Pond4_Type,N
Pond4Fish4_FishType,green
Pond4Fish4_FishLatency,3.75
Pond4Fish4_CatchTime,-1
Pond4Fish4_GiveUpTime,-1
Pond4Fish4_PondTime,1.448
Pond4Fish4_PondOutcome,22
Pond4Fish4_TotalOutcome,418
Pond4Fish4_TimeLeft,685.505
Pond4_Type,N
Pond4Fish5_FishType,green
Pond4Fish5_FishLatency,4
Pond4Fish5_CatchTime,1.274
Pond4Fish5_GiveUpTime,-1
Pond4Fish5_PondTime,6.649
Pond4Fish5_PondOutcome,33
Pond4Fish5_TotalOutcome,429
Pond4Fish5_TimeLeft,678.856
Pond4_Type,N
Pond4Fish6_FishType,green
Pond4Fish6_FishLatency,4.285714285714286
Pond4Fish6_CatchTime,-1
Pond4Fish6_GiveUpTime,-1
Pond4Fish6_PondTime,1.733
Pond4Fish6_PondOutcome,33
Pond4Fish6_TotalOutcome,429
Pond4Fish6_TimeLeft,677.123
Pond4_Type,N
Pond4Fish7_FishType,green
Pond4Fish7_FishLatency,4.615384615384615
Pond4Fish7_CatchTime,-1
Pond4Fish7_GiveUpTime,6.055
Pond4Fish7_PondTime,3.628
Pond4Fish7_PondOutcome,33
Pond4Fish7_TotalOutcome,429
Pond4Fish7_TimeLeft,673.495
Pond5IntroTime,10.904294443316758
Pond3_Type,N
Pond3Fish1_FishType,green
Pond3Fish1_FishLatency,3.1578947368421053
Pond3Fish1_CatchTime,0.931
Pond3Fish1_GiveUpTime,-1
Pond3Fish1_PondTime,21.909
Pond3Fish1_PondOutcome,11
Pond3Fish1_TotalOutcome,440
Pond3Fish1_TimeLeft,651.586
Pond3_Type,N
Pond3Fish2_FishType,green
Pond3Fish2_FishLatency,3.3333333333333335
